Travels Name,Bus Type,Price,Time
MSRTC  - 472069,AC-SHIVNERI,526,10:00
MSRTC  - 371650,AC-SHIVNERI,520,10:01
MSRTC  - 367593,AC-SHIVNERI,520,10:07
MSRTC  - 371630,SEMI LUXURY,231,10:15
MSRTC  - 285714,SEMI LUXURY,260,10:15
MSRTC  - 368347,SEMI LUXURY,270,10:23
MSRTC  - 371252,AC-SHIVNERI,520,10:30
MSRTC  - 471911,AC-SHIVNERI,615,10:30
MSRTC  - 473974,AC-SHIVNERI,540,10:30
MSRTC  - 371651,AC-SHIVNERI,520,10:31
MSRTC  - 367594,AC-SHIVNERI,520,10:37
MSRTC  - 362199,DAY ORDINARY,325,10:45
MSRTC  - 371253,AC-SHIVNERI,441,10:45
MSRTC  - 435476,SEMI LUXURY,65,10:45
MSRTC  - 548765,PARIVARTAN DAY ORDINARY,190,10:45
MSRTC  - 368350,SEMI LUXURY,270,10:53
MSRTC  - 473975,AC-SHIVNERI,540,11:00
MSRTC  - 517200,SEMI LUXURY,155,11:00
MSRTC  - 371254,AC-SHIVNERI,520,11:00
MSRTC  - 472066,AC-SHIVNERI,615,11:00
MSRTC  - 575752,SEMI LUXURY,200,11:00
MSRTC  - 371652,AC-SHIVNERI,441,11:01
MSRTC  - 371631,SEMI LUXURY,231,11:15
MSRTC  - 371255,AC-SHIVNERI,520,11:15
MSRTC  - 467673,SEMI LUXURY,260,11:15
MSRTC  - 367605,AC-SHIVNERI,520,11:20
MSRTC  - 368368,SEMI LUXURY,270,11:22
MSRTC  - 471899,AC-SHIVNERI,615,11:30
MSRTC  - 473976,AC-SHIVNERI,540,11:30
MSRTC  - 371256,AC-SHIVNERI,520,11:30
MSRTC  - 371653,AC-SHIVNERI,441,11:31
MSRTC  - 368221,SEMI LUXURY,200,11:32
MSRTC  - 371258,AC-SHIVNERI,441,11:45
MSRTC  - 371632,SEMI LUXURY,231,11:45
MSRTC  - 517202,SEMI LUXURY,155,11:45
MSRTC  - 538698,SEMI LUXURY,310,11:50
MSRTC  - 630634,PARIVARTAN DAY ORDINARY,295,11:55
MSRTC  - 473977,AC-SHIVNERI,540,12:00
MSRTC  - 371260,AC-SHIVNERI,520,12:00
MSRTC  - 473721,AC-SHIVNERI,615,12:00
MSRTC  - 457551,PARIVARTAN DAY ORDINARY,335,12:00
MSRTC  - 371654,AC-SHIVNERI,520,12:01
MSRTC  - 367596,AC-SHIVNERI,520,12:06
MSRTC  - 371633,SEMI LUXURY,231,12:15
MSRTC  - 371261,AC-SHIVNERI,520,12:15
MSRTC  - 368369,SEMI LUXURY,270,12:22
MSRTC  - 371262,AC-SHIVNERI,520,12:30
MSRTC  - 473979,AC-SHIVNERI,540,12:30
MSRTC  - 517203,SEMI LUXURY,155,12:30
MSRTC  - 371152,SEMI LUXURY,250,12:30
MSRTC  - 571865,AC-SHIVNERI,615,12:30
MSRTC  - 371656,AC-SHIVNERI,520,12:31
MSRTC  - 371634,SEMI LUXURY,270,12:45
MSRTC  - 371263,AC-SHIVNERI,520,12:46
MSRTC  - 368224,SEMI LUXURY,200,12:47
MSRTC  - 524289,SHIVSHAHI,275,12:55
MSRTC  - 613192,AC-SHIVNERI,525,13:00
MSRTC  - 473980,AC-SHIVNERI,540,13:00
MSRTC  - 371264,AC-SHIVNERI,520,13:00
